bt_close_price,bt_close_ts,bt_entry,bt_fill_ts,bt_last_trail_sl,bt_last_trail_source,bt_last_trail_ts,bt_pnl,bt_reason,bt_s14_family,bt_scale_out_1_pnl,bt_scale_out_2_pnl,bt_scale_out_3_pnl,bt_scale_out_4_pnl,bt_side,bt_sl_guard_group,bt_sl_guard_trigger_tf,bt_trail_count,bt_trail_path,gap_reason,nearest_live_entry,nearest_live_entry_diff,nearest_live_fill_ts,nearest_live_reason,nearest_live_time_diff_min,status
4399.34,2026-05-28 17:00:00,4397.95,2026-05-28 16:15:00,,,,-1.39,SL,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4399.34,2026-05-28 17:00:00,4397.95,2026-05-28 17:00:00,,,,-1.39,SL,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4384.92,2026-05-28 18:15:00,4389.03,2026-05-28 18:00:00,,,,4.11,PD_FILL_FAIL,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4408.12,2026-05-28 19:45:00,4406.35,2026-05-28 19:45:00,,,,-1.77,SL,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4468.46,2026-05-28 21:00:00,4448.91,2026-05-28 21:00:00,,,,-19.55,SL_GUARD_GROUP,,,,,,SELL,M30+H1+H4,M30,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4514.17,2026-06-01 10:00:00,4501.19,2026-05-29 11:00:00,,,,12.98,SL_GUARD_GROUP,,,,,,BUY,M30+H1+H4,M30,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4514.17,2026-06-01 10:00:00,4516.75,2026-06-01 10:00:00,,,,-2.58,SL_GUARD_GROUP,,,,,,BUY,M30+H1+H4,M30,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4514.6,2026-06-01 10:15:00,4516.75,2026-06-01 10:15:00,,,,-2.15,SL,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4514.6,2026-06-01 10:30:00,4516.75,2026-06-01 10:30:00,,,,-2.15,SL,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4514.6,2026-06-01 12:30:00,4516.75,2026-06-01 12:30:00,,,,-2.15,SL,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4479.11,2026-06-02 08:00:00,4496.76,2026-06-02 07:30:00,,,,17.65,TP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4477.5,2026-06-02 08:45:00,4478.23,2026-06-02 08:45:00,,,,-0.73,SL,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4477.5,2026-06-02 09:30:00,4478.23,2026-06-02 09:30:00,,,,-0.73,SL,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4520.35,2026-06-02 19:45:00,4521.11,2026-06-02 19:45:00,,,,-0.76,SL,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4494.87,2026-06-03 07:30:00,4494.08,2026-06-03 07:30:00,,,,-0.79,SL,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4450.24,2026-06-04 02:15:00,4449.33,2026-06-04 02:00:00,,,,-0.91,SL,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4433.98,2026-06-04 03:30:00,4434.68,2026-06-04 03:30:00,,,,-0.7,SL,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4454.0,2026-06-04 06:45:00,4453.2,2026-06-04 06:30:00,,,,-0.8,SL,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4454.0,2026-06-04 08:00:00,4453.2,2026-06-04 08:00:00,,,,-0.8,SL,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4477.19,2026-06-04 12:00:00,4477.25,2026-06-04 12:00:00,,,,-0.06,PD_FILL_FAIL,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4484.03,2026-06-04 23:00:00,4457.43,2026-06-04 21:45:00,,,,26.6,TP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4452.18,2026-06-05 13:45:00,4451.23,2026-06-05 13:45:00,,,,-0.95,SL,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4471.63,2026-06-05 18:45:00,4470.61,2026-06-05 18:45:00,,,,-1.02,SL,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4471.63,2026-06-05 19:15:00,4470.61,2026-06-05 19:00:00,,,,-1.02,SL,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4471.63,2026-06-05 19:15:00,4470.61,2026-06-05 19:15:00,,,,-1.02,SL,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4349.65,2026-06-08 07:15:00,4348.58,2026-06-08 07:15:00,,,,-1.07,SL,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
