Month,Trades,Win,Loss,Net Profit,Win Rate (%),Balance
2024-04,563,282,279,341.18,50.27,2841.18
2024-05,712,375,333,1072.56,52.97,3913.74
2024-06,599,341,253,1965.84,57.41,5879.58
2024-07,787,430,354,2475.04,54.85,8354.62
2024-08,630,314,311,1860.8,50.24,10215.42
2024-09,604,267,332,-144.66,44.57,10070.76
2024-10,634,281,346,830.93,44.82,10901.69
2024-11,688,304,382,807.14,44.31,11708.83
2024-12,558,229,329,1542.16,41.04,13250.99
2025-01,803,407,392,2712.55,50.94,15963.54
2025-02,747,390,347,5075.32,52.92,21038.86
2025-03,649,284,359,1319.14,44.17,22358.0
2025-04,791,417,373,5584.73,52.78,27942.73
2025-05,670,295,373,4776.33,44.16,32719.06
2025-06,723,364,356,4648.25,50.56,37367.31
2025-07,724,362,354,4724.67,50.56,42091.98
2025-08,858,464,385,10175.4,54.65,52267.38
2025-09,742,380,350,9938.81,52.05,62206.19
2025-10,810,444,364,29574.57,54.95,91780.76
2025-11,723,376,344,20225.63,52.22,112006.39
2025-12,809,410,393,25611.87,51.06,137618.26
2026-01,753,369,376,29198.45,49.53,166816.71
2026-02,736,383,349,49595.3,52.32,216412.01
2026-03,718,328,385,31740.65,46.0,248152.66
2026-04,728,399,323,57763.74,55.26,305916.4
2026-05,902,543,352,98119.64,60.67,404036.04
2026-06,910,539,364,178455.03,59.69,582491.07
2026-07,277,140,133,13585.08,51.28,596076.15
