Time (BKK),Close Time,lts_leg,TF,Type,Entry,SL,TP,Lot,P&L,Balance,Reason
2026-06-19 09:15:00,2026-06-19 09:15:00,INVERSE_S84c28_RDall_H8,M15,SELL,4186.43,4189.62,4182.89,0.73,-247.81,9752.19,SL
2026-06-23 09:15:00,2026-06-23 09:15:00,INVERSE_S84c28_RDall_H8,M15,SELL,4185.29,4186.71,4183.71,2.19,302.63,10054.82,TP
2026-06-24 09:00:00,2026-06-24 09:00:00,INVERSE_S84c28_RDall_H8,M15,BUY,4097.39,4093.51,4101.7,0.73,-298.24,9756.58,SL
2026-06-25 09:00:00,2026-06-25 09:00:00,INVERSE_S84c28_RDall_H8,M15,BUY,3991.46,3980.44,4003.7,0.73,880.11,10636.69,TP
2026-06-26 09:00:00,2026-06-26 09:00:00,INVERSE_S84c28_RDall_H8,M15,BUY,4020.32,4014.94,4026.3,0.73,422.51,11059.2,TP
2026-06-29 09:15:00,2026-06-29 09:15:00,INVERSE_S84c28_RDall_H8,M15,SELL,4054.89,4057.73,4051.73,1.46,-444.44,10614.76,SL
2026-07-02 09:00:00,2026-07-02 09:00:00,INVERSE_S84c28_RDall_H8,M15,BUY,4051.77,4049.47,4054.33,1.46,345.03,10959.79,TP
2026-07-06 09:00:00,2026-07-06 09:00:00,INVERSE_S84c28_RDall_H8,M15,SELL,4179.81,4185.89,4173.06,0.73,478.8,11438.59,TP
2026-07-07 09:00:00,2026-07-07 09:00:00,INVERSE_S84c28_RDall_H8,M15,SELL,4146.05,4147.69,4144.23,2.19,355.26,11793.85,TP
2026-07-08 09:00:00,2026-07-08 09:00:00,INVERSE_S84c28_RDall_H8,M15,SELL,4111.44,4113.23,4109.45,2.19,392.54,12186.39,TP
